ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_r petroR90_r
1237654653099180151 122.226779089401 38.9242676406944 0.0393039 0.1127585 67.72231 19.78312 18.05824 17.48335 17.17751 17.0628 19.70816 18.12892 17.52958 17.23851 16.95928 0.2044571 0.1593116 0.110211 0.08189861 0.06091752 5.125961 7.338498 6.590174 6.657951 5.442611 3.074499 7.224078
1237654605864829065 165.134141684361 5.0043456287769 0.03874752 0 23.5514 18.78436 17.67557 17.11248 16.77311 16.60927 18.86221 17.64062 17.11814 16.78753 16.55018 0.1381451 0.1076417 0.07446603 0.05533625 0.04116 11.98631 6.292305 6.360383 6.335051 5.965437 2.92916 6.959566
1237654383589785713 140.389887390033 55.0014278673437 0.0460419 1 145.6895 18.04924 16.18336 15.35453 14.95179 14.66126 17.90989 16.05392 15.22093 14.81735 14.49741 0.1015084 0.07909469 0.05471734 0.04066085 0.0302442 6.45565 7.250059 7.02163 7.006775 6.334588 2.977308 9.782129
1237654381975437353 131.554083616111 48.3483407193745 0.02961822 1 154.2854 16.80716 15.06192 14.311 13.83065 13.6245 16.86046 15.00322 14.17906 13.74275 13.47009 0.1222992 0.09529468 0.06592441 0.0489889 0.03643874 34.14446 17.93032 15.34554 17.83873 14.30827 6.27455 20.29563
1237654030863827347 167.892644694085 3.18290164845466 0.03051447 0 16.49192 19.05655 17.74854 17.1481 16.82206 16.50834 19.17231 17.75214 17.10632 16.79386 16.58039 0.1806782 0.1407832 0.09739318 0.07237357 0.05383264 8.368629 8.635761 8.427463 8.32353 9.391019 3.878931 7.833622
1237653652378550566 15.954656728348 14.9595134788877 0.03991968 0.1362613 64.97377 19.39202 18.19207 17.53367 17.06723 16.93842 19.44354 18.23081 17.59299 17.15012 16.79872 0.5359617 0.4176177 0.288906 0.2146881 0.1596885 8.191256 8.672834 8.572759 8.924613 7.465705 4.234139 10.87084
1237653614259077248 140.392686253641 54.8885613100047 0.04307777 0.1550851 82.06673 20.20795 17.57066 16.76579 16.34487 16.07302 19.94254 17.60958 16.76958 16.34591 15.99897 0.09711512 0.07567144 0.05234915 0.03890103 0.02893522 4.239933 7.369103 7.003613 7.101298 6.417786 3.171056 7.957997
1237652899691298892 39.2990818838099 -9.11820723734712 0.04244668 0.2276376 29.80479 18.45561 17.58465 17.20938 16.93423 17.34597 18.66395 17.62422 17.26194 17.03332 17.05053 0.1247458 0.09720111 0.06724328 0.04996896 0.03716773 27.92087 6.628264 6.397748 25.19334 4.256435 2.874054 7.019417
1237651823246573749 216.821845098932 4.80274077733728 0.02799767 0 80.34495 30.89422 15.65506 14.82007 14.45984 30.30236 18.02857 15.32059 14.68112 14.18803 14.80661 0.1361223 0.1060655 0.07337566 0.05452598 0.04055731 2.970166 41.84993 58.47333 52.59334 27.3274 24.71548 57.38855
1237651822173618380 218.480528838942 3.83413494867294 0.02911511 0.8878776 143.7298 17.93579 16.05486 15.20969 14.79249 14.50016 17.76446 15.88431 15.03319 14.63839 14.30715 0.15634 0.1218191 0.08427386 0.06262451 0.04658113 8.880767 8.820245 8.729642 9.000444 8.815455 3.572643 10.38606
