objID,ra,dec,z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237651192432492663,132.217004476473,53.6647076704479,0.04759995,19.27155,17.72748,17.22137,16.88359,16.7464,19.09848,17.67645,17.1752,16.85996,16.70185
1237651192433279182,134.387334695124,54.97174048789,0.03762112,18.06362,16.93445,16.39545,16.14192,16.11254,18.13938,16.91215,16.39318,16.10444,15.90835
1237651192436162576,143.578186655276,59.1852405447304,0.0468237,17.82611,15.98176,15.12393,14.70025,14.41758,17.93072,15.97717,15.10377,14.69058,14.37161
1237651192436424901,144.545667275714,59.7462062185357,0.04809031,19.34038,17.63435,16.84102,16.42918,16.22503,19.21078,17.46871,16.65619,16.22747,15.92824
1237651192436883568,146.207283666844,60.2243987275475,0.04601416,18.698,17.84586,17.43833,17.13924,17.00062,18.8301,17.89053,17.49594,17.15598,16.96183
1237651212289572962,261.105106224035,53.5179271601226,0.02421405,17.41923,16.02542,15.33737,14.98875,14.75856,17.3421,15.95921,15.24148,14.88774,14.59243
1237651213362069598,261.156360509146,56.4771408765812,0.02829445,17.93877,17.0071,16.77364,16.62887,16.46346,17.77495,16.86621,16.64161,16.48008,16.3326
1237651225711280370,261.138008485101,53.715371333265,0.03062648,19.44742,18.11993,17.43203,17.12885,17.02471,19.10571,17.85275,17.22237,16.90854,16.69255
1237651226244678126,257.390362981162,61.4090324439014,0.03167057,18.82911,17.60109,17.4404,17.29666,18.24733,18.62638,17.11748,16.75327,16.58305,16.58977
1237651226247495863,261.160286095197,55.2261324187809,0.02515694,18.11064,17.102,16.64889,16.39764,16.30454,17.79745,16.88093,16.48614,16.27326,16.15492
1237651226783580231,261.174777077052,57.164874241503,0.03056755,17.13227,15.85035,15.22306,14.90931,14.75861,17.18356,15.86594,15.23692,14.90518,14.65296
1237666300017377382,47.1816655065235,-0.526229212759542,0.03760372,17.87028,16.76181,16.27613,16.07981,16.12624,17.59363,16.29158,15.77895,15.50291,15.33711
1237666300017377404,47.2326631200712,-0.600497702529719,0.04461561,19.45796,17.88501,17.10216,16.65156,16.38274,19.60698,17.93292,17.1096,16.61625,16.22585
1237666339189555472,17.991561822409,-0.0597070706314486,0.04365352,19.33323,18.02058,17.47312,17.15419,16.94947,19.24835,18.01208,17.46028,17.12859,16.90295
