ra,dec,z,c_par,fracDeV_r,velDisp,abs_model_mag_u,abs_model_mag_g,abs_model_mag_r,abs_model_mag_i,abs_model_mag_z,abs_petro_mag_u,abs_petro_mag_g,abs_petro_mag_r,abs_petro_mag_i,abs_petro_mag_z,color_u_r,color_g_r,mu_sup,petroR50_r,petroR90_r
189.896637,-2.74627328,4.77104001E-02,2.42502284,0.114423700,122.255203,-18.2964363,-19.5716267,-20.2339211,-20.6014023,-20.8695602,-18.3899975,-19.6461468,-20.2646599,-20.6007690,-20.7033386,1.93748474,0.662294388,20.8838921,2.82679963,6.85505438
117.530769,40.2241592,4.04954292E-02,2.09048486,0.00000000,71.7348328,-17.6229744,-18.8077354,-19.3100758,-19.5973301,-19.8001270,-17.5094452,-18.7703457,-19.2970066,-19.5803986,-19.8003864,1.68710136,0.502340317,20.6091385,1.59038079,3.32466698
133.852829,54.2295227,3.04937307E-02,2.12465620,0.00000000,52.8356705,-16.6866379,-17.7853909,-18.2083111,-18.4364204,-18.4222221,-16.3389969,-17.7666225,-18.1438618,-18.3971519,-18.2821426,1.52167320,0.422920227,22.2841358,2.12379766,4.51233959
134.186462,54.2429276,3.71276811E-02,2.26773262,0.301772892,69.3635483,-18.7092743,-19.7360191,-20.1701488,-20.4291534,-20.6266670,-18.7118740,-19.8290482,-20.2353573,-20.4540825,-20.6426563,1.46087456,0.434129715,20.3151836,2.21583390,5.02491903
169.022537,43.0710564,2.11730301E-02,2.06359982,0.00000000,0.00000000,-17.0386276,-18.1928234,-18.5888081,-18.7940941,-18.8640671,-17.0144997,-18.1543941,-18.5496464,-18.7447433,-18.6530075,1.55018044,0.395984650,21.7506256,2.04554725,4.22119093
163.518021,43.5327721,3.68653312E-02,2.47225595,0.00000000,47.0483818,-17.6042252,-18.8566761,-19.4026737,-19.6785088,-19.8804893,-17.7114983,-18.8107967,-19.3763638,-19.6025009,-19.8151970,1.79844856,0.545997620,21.5524902,2.66102457,6.57873392
197.009583,44.9298019,3.36121693E-02,2.88248396,1.00000000,0.00000000,-17.3175926,-18.0223255,-18.2183323,-18.3632812,-18.4381294,-17.1544418,-17.8926373,-18.1455135,-18.3330116,-18.4585304,0.900739670,0.196006775,20.0589085,0.759687185,2.18978596
134.220032,54.9637489,3.81745510E-02,2.35536933,0.00000000,87.5579987,-16.7639008,-18.1001949,-18.6842461,-19.0026340,-19.2348042,-16.5764103,-18.0912552,-18.6328869,-19.0075741,-19.1914940,1.92034531,0.584051132,21.7005558,2.00561357,4.72396088
186.505875,66.5540543,4.69107702E-02,2.41840291,0.580221474,46.5187187,-16.7684116,-18.3108807,-18.9902515,-19.2845325,-19.5012035,-16.8930302,-18.3553104,-19.0440311,-19.3309326,-19.4755344,2.22183990,0.679370880,20.6732330,1.49103224,3.60591674
186.187225,60.0543137,4.23268005E-02,2.16483641,0.00000000,49.0658417,-18.7446842,-19.7809277,-20.2066536,-20.4624977,-20.6084557,-18.6506939,-19.7351475,-20.1719933,-20.4447479,-20.4877968,1.46196938,0.425725937,21.0333710,2.97874641,6.44849825
144.131699,59.3999290,4.08407301E-02,3.10111690,0.778848112,75.0260773,-18.5743065,-19.0303764,-18.9551373,-19.1542225,-18.6509171,-18.2096348,-18.8310757,-18.8218670,-18.9976215,-18.2120361,0.380830765,-7.52391815E-02,21.2324047,1.75132799,5.43107271
144.133057,59.4051819,4.11190018E-02,2.66230440,0.572872102,23.1052704,-18.2752380,-18.8414459,-19.0220757,-19.2014084,-19.3660736,-18.2351475,-18.8557358,-19.0779953,-19.2381687,-19.3530235,0.746837616,0.180629730,20.1935310,1.22067332,3.24980402
7.45561266,-1.23493421,3.37490812E-02,3.60147500,1.00000000,248.979401,-18.2676964,-20.1578884,-20.9959202,-21.3974152,-21.6805229,-18.4792862,-20.1862583,-21.0244694,-21.4036350,-21.6411438,2.72822380,0.838031769,20.0747318,2.86693120,10.3251810
22.5142899,-1.17246139,2.93969307E-02,2.78645158,0.483380586,76.2846527,-17.7517338,-18.9342041,-19.3157921,-19.5029640,-19.6121216,-17.5604134,-18.6332836,-19.0507221,-19.2784138,-19.3995914,1.56405830,0.381587982,20.3348598,1.30251551,3.62939668
30.3830414,-1.10471082,4.48943004E-02,2.62052464,0.815761685,70.5604706,-18.2942314,-19.6768398,-20.4015865,-20.7187099,-20.9579258,-17.8726997,-19.4242496,-20.1572132,-20.4835701,-20.6955261,2.10735512,0.724746704,21.0375500,2.90337610,7.60836744
2.45571542,-0.684186339,3.89389396E-02,2.51270390,0.131818399,0.00000000,-17.1157036,-18.1809139,-18.7327328,-19.0186806,-19.2379951,-17.4479828,-18.1569042,-18.6856403,-18.9468040,-19.1090050,1.61702919,0.551818848,22.2300987,2.54237509,6.38823605
14.4737120,-0.814677298,4.18780409E-02,3.26831651,1.00000000,213.067200,-18.9101982,-20.7309971,-21.5690022,-21.9798756,-22.2585716,-18.8467770,-20.5845776,-21.4285812,-21.8320465,-22.1102524,2.65880394,0.838005066,18.9022064,1.96762288,6.43081474
37.8841019,-0.811500132,3.28110307E-02,2.58216643,0.00000000,64.1029205,-17.0851383,-18.1232452,-18.5493774,-18.8121033,-18.9766216,-17.1159992,-18.1199360,-18.5449982,-18.7677441,-18.7259121,1.46423912,0.426132202,21.9927578,2.20540714,5.69472790
42.9157982,-0.755646229,2.83270702E-02,2.85661745,0.857744813,72.7620468,-18.4160767,-19.2312412,-19.5271854,-19.6897316,-19.8136749,-18.1747246,-19.0501614,-19.3896160,-19.5620117,-19.6827049,1.11110878,0.295944214,19.2557907,0.903144062,2.57993698
14.5019360,-0.290895730,4.41447683E-02,3.35211587,1.00000000,149.451202,-19.2681484,-20.8749790,-21.6721630,-22.0432968,-22.3505306,-19.1860294,-20.7778072,-21.5425129,-21.9285049,-22.2098007,2.40401459,0.797183990,19.5918808,2.82801986,9.47985077
