ID ra dec z fracDeV_r velDisp petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z modelMag_u modelMag_g modelMag_r modelMag_i modelMag_z extinction_u extinction_g extinction_r extinction_i extinction_z petroRad_u petroRad_g petroRad_r petroRad_i petroRad_z petroR50_u petroR50_g petroR50_r petroR50_i petroR50_z
1237648704596082972 226.740071082079 0.0676503164287209 0.03315733 0.991606 85.94455 19.13193 17.33156 16.582 16.22915 15.9379 18.90216 17.18099 16.44769 16.09219 15.81547 0.2197587 0.1712345 0.1184592 0.08802789 0.06547658 5.730609 5.250566 5.440275 5.398008 5.348736 2.106283 2.314673 2.411173 2.387735 2.421824
1237648705669759269 226.606112649408 0.929125031124542 0.0320456 0 57.87972 17.4711 16.16214 15.59863 15.28316 15.02835 17.42912 16.19013 15.58531 15.24149 14.947 0.264266 0.2059142 0.1424505 0.105856 0.07873742 9.974474 10.12226 10.23152 9.813952 9.466997 4.579581 4.770116 4.62185 4.478456 4.379688
1237648720151445521 167.311732929282 -0.927930728123985 0.02880348 1 192.7369 17.91746 16.14238 15.34085 14.93793 14.64736 17.98419 16.12447 15.30774 14.90887 14.56817 0.1405874 0.1095448 0.07578257 0.05631457 0.0418877 8.06095 6.909313 5.864464 5.872375 5.235403 2.944213 2.486581 2.324529 2.309717 2.218281
1237648720709746848 216.242709974148 -0.607984963797119 0.03102892 0.4561768 63.24339 18.97668 18.04154 17.68264 17.4555 17.39715 19.20343 18.1525 17.76931 17.54263 17.39288 0.2156739 0.1680516 0.1162573 0.08639166 0.06425952 5.932609 5.453887 5.126063 5.451716 5.074946 2.710548 2.422623 2.278664 2.360901 2.081756
1237648720713547963 225.033458646523 -0.586392468460812 0.04036379 0.9982871 85.74417 16.58458 15.2063 14.6061 14.3067 14.04002 16.54636 15.15242 14.40672 14.03899 13.67059 0.2618619 0.204041 0.1411546 0.104893 0.07802114 22.41703 22.09195 20.32595 19.69284 19.38125 11.80958 11.23428 10.18748 9.729201 9.252932
1237648721232986314 185.16541948491 -0.0258173417894588 0.02951393 0.1164567 65.38741 17.62751 16.62062 16.13323 15.94267 15.90944 17.7473 16.66527 16.16063 15.90146 15.70265 0.1055437 0.08223891 0.0568925 0.04227722 0.03144649 15.19655 13.39404 12.08943 11.28175 9.159472 6.4807 5.70858 5.405908 4.894885 3.980004
1237648721251271240 226.836740180008 -0.120652315308601 0.03557758 0 72.37491 18.76884 17.49348 16.97426 16.85276 17.04743 18.65867 17.37237 16.87037 16.61792 16.40497 0.2316379 0.1804906 0.1248626 0.09278629 0.06901595 14.70013 14.11744 14.29157 13.39662 10.30238 5.878691 6.110655 6.106084 5.60197 3.974753
1237648721788076545 226.758279216762 0.223102404824586 0.03542913 0 147.3008 19.674 18.37426 17.89631 17.61757 18.40727 19.48552 18.30107 17.81579 17.50597 17.46973 0.2503652 0.1950829 0.1349574 0.1002878 0.07459573 10.56414 10.30568 18.0159 10.10277 7.944705 4.633286 4.870558 4.81594 4.691947 2.181402
1237648721790697923 232.792406433628 0.40283102766288 0.03894363 1 84.08051 18.3902 16.6956 15.88018 15.47612 15.19322 18.52934 16.66912 15.81866 15.4035 15.09536 0.2932156 0.2284716 0.1580556 0.1174522 0.08736289 9.545738 6.201758 5.516892 5.442155 5.269033 3.137958 2.636066 2.449698 2.387354 2.321151
1237648722837241973 170.606064894311 1.18945894486738 0.02982276 0.09794567 53.4151 18.61358 17.19493 16.48252 16.13127 15.88088 18.64425 17.27798 16.5842 16.21555 15.88706 0.162986 0.1269975 0.08785632 0.06528666 0.04856128 6.486528 6.346475 6.612183 6.37637 6.588932 2.841988 3.000852 3.093861 3.024307 2.822412
