  cls    ig     type   clase    smass     u         g        r         sfr      Mcoldgas  Mhotgas  Tau    OH       bt    ssfr    
  26     31255    0      IN     9.255    -17.873   -18.637   -18.995   -0.35    9.358    10.279   2.717   9.706    0.023   -9.605   
  26     202341   1      IN     10.021   -16.229   -17.802   -18.779   -0.815   8.92     10.157   5.434   10.237   0.918   -10.836  
  15     218875   1      IL     9.342    -14.74    -16.468   -17.404   99.0     8.315    8.597    7.489   9.967    0.0     99.0     
  7      26444    0      IN     9.268    -17.88    -18.572   -18.896   -0.354   9.753    10.287   3.291   9.538    0.13    -9.622   
  24     232433   1      BS     9.181    -16.742   -17.667   -18.162   -0.876   9.104    9.973    3.597   9.453    0.345   -10.057  
  28     33198    0      IN     9.373    -17.718   -18.508   -18.914   -0.416   9.333    10.248   3.558   9.899    0.0     -9.789   
  26     17460    0      IL     9.627    -18.546   -19.259   -19.601   -0.042   10.035   10.424   3.78    9.825    0.0     -9.669   
  19     187323   1      IL     9.685    -17.115   -18.213   -18.885   -0.76    8.752    10.23    4.152   10.063   0.655   -10.445  
  9      38544    0      IL     9.447    -17.628   -18.607   -19.093   -0.381   9.042    10.161   3.019   9.77     0.124   -9.828   
  30     220964   1      CL     9.507    -18.001   -18.873   -19.303   -0.335   9.564    9.947    3.658   9.704    0.0     -9.842   
  10     211122   1      IN     9.567    -17.068   -18.096   -18.673   -0.815   8.693    9.847    6.108   9.642    0.124   -10.382  
  28     80700    0      BS     9.235    -15.681   -16.842   -17.554   99.0     8.824    9.665    6.783   9.626    0.123   99.0     
  22     43162    0      IL     9.454    -16.935   -17.886   -18.446   -0.785   9.128    9.948    5.17    9.861    0.074   -10.239  
  13     25201    0      IL     9.52     -17.889   -18.702   -19.142   -0.143   9.554    10.381   3.352   9.906    0.075   -9.663   
  24     15585    0      IL     9.873    -18.414   -19.207   -19.729   0.216    9.808    10.595   2.954   10.028   0.934   -9.657   
  29     26344    0      IL     9.468    -17.706   -18.521   -18.975   -0.159   9.669    10.336   3.217   9.872    0.0     -9.627   
  20     39313    0      BS     9.42     -17.127   -18.037   -18.556   -0.562   9.028    10.154   4.337   9.808    0.04    -9.982   
  18     135205   0      BS     9.253    -15.118   -16.726   -17.596   99.0     99.0     3.888    5.104   13.996   0.97    99.0     
  16     9719     0      BS     10.244   -18.037   -19.173   -19.81    -0.086   9.042    10.842   7.582   9.803    0.961   -10.33   
  16     57613    0      IL     9.114    -16.714   -17.601   -18.041   -0.82    8.87     9.932    4.806   9.668    0.0     -9.934   
  34     3869     0      IN     10.482   -16.769   -18.645   -19.69    99.0     99.0     11.416   0.377   13.996   0.635   99.0     
  1      9393     0      BS     10.442   -17.664   -19.222   -20.155   -0.702   9.619    10.777   5.391   10.254   0.924   -11.144  
  30     71209    0      IL     9.138    -16.132   -17.156   -17.725   99.0     8.915    9.816    5.666   9.35     0.0     99.0     
  17     200762   1      BS     10.065   -17.428   -18.587   -19.331   -0.498   9.18     10.027   6.358   10.198   0.446   -10.563  
  6      223543   1      IN     9.759    -17.579   -18.561   -19.164   -0.371   9.198    10.176   4.392   10.12    0.0     -10.13   
  8      199487   1      IL     9.425    -18.033   -18.811   -19.199   -0.242   9.097    10.197   2.971   9.883    0.0     -9.667   
  32     212229   1      IN     9.273    -16.862   -17.81    -18.344   -0.746   8.781    10.164   3.66    9.857    0.0     -10.019  
  14     15752    0      BS     10.299   -18.376   -19.321   -19.979   0.211    9.588    10.482   5.127   10.153   0.0     -10.088  
  12     22095    0      IL     9.718    -18.4     -19.151   -19.547   0.027    9.391    10.453   3.644   10.045   0.59    -9.691   
  4      42082    0      BS     9.825    -17.068   -18.422   -19.152   -0.776   8.796    9.928    4.654   10.044   0.748   -10.601  
  19     5273     0      IN     10.373   -16.496   -18.408   -19.495   99.0     9.64     11.237   7.311   10.051   0.798   99.0     
  17     200428   1      CL     9.249    -14.827   -16.491   -17.385   99.0     8.482    9.005    6.425   9.899    0.0     99.0     
  7      37621    0      IN     9.288    -16.924   -17.79    -18.285   -0.46    9.218    10.192   4.055   9.85     0.0     -9.748   
