cls   ra         dec        z    Mr01      ur    mur     kr50    C    stellarmass    sfr    ssfr     Dn4000   class   Zc   sigma     Mvir      Rvir   R200   w   dist     Pe   Ps    
  1      10.007       -9.8812     0.057   -21.194   2.653   18.965   1.901   3.097   11.011   -1.058   -12.134   1.964   -1      0.056   698.823   5.58E14    1.638   1.729   0.018   1.195   0.9     0.1    
  1      9.9835       -8.7345     0.056   -20.665   2.502   19.521   1.942   3.203   10.698   -1.037   -11.774   1.949   -1      0.056   698.823   5.58E14    1.638   1.729   0.038   1.167   0.77    0.2    
  1      9.892        -8.7334     0.054   -19.511   2.256   19.384   1.072   2.687   10.182   -0.851   -11.093   1.851   2       0.056   698.823   5.58E14    1.638   1.729   0.184   1.233   0.43    0.51   
  1      9.9376       -8.8566     0.057   -18.765   1.228   20.402   1.208   2.115   9.26     -0.173   -9.496    1.207   1       0.056   698.823   5.58E14    1.638   1.729   0.52    1.113   0.47    0.27   
  1      10.0204      -9.0507     0.055   -20.908   2.636   19.765   2.424   3.352   10.839   -1.185   -12.079   2.064   -1      0.056   698.823   5.58E14    1.638   1.729   0.027   0.791   0.87    0.1    
  1      10.1893      -8.8609     0.059   -19.443   2.506   20.54    1.755   2.52    10.19    -1.302   -11.547   1.829   -1      0.056   698.823   5.58E14    1.638   1.729   0.205   0.87    0.74    0.15   
  1      10.1433      -8.8349     0.057   -20.057   2.488   19.373   1.369   2.783   10.48    -0.954   -11.48    2.133   -1      0.056   698.823   5.58E14    1.638   1.729   0.087   0.907   0.73    0.23   
  1      10.0778      -8.8825     0.06    -21.646   2.539   20.452   4.634   2.433   11.138   -0.687   -11.865   1.847   4       0.056   698.823   5.58E14    1.638   1.729   0.01    0.956   0.38    0.54   
  1      10.1936      -8.8347     0.054   -21.257   2.596   19.651   2.716   2.898   11.047   -0.253   -11.349   1.949   2       0.056   698.823   5.58E14    1.638   1.729   0.017   0.825   1.0     0.0    
  1      10.1679      -8.9889     0.059   -19.271   2.357   20.091   1.317   2.827   10.122   -1.243   -11.421   1.864   -1      0.056   698.823   5.58E14    1.638   1.729   0.26    0.71    0.42    0.45   
  1      10.1814      -8.9576     0.054   -19.891   2.503   19.235   1.193   2.745   10.364   -1.395   -11.814   1.861   -1      0.056   698.823   5.58E14    1.638   1.729   0.109   0.684   0.82    0.09   
  1      10.0523      -8.999      0.055   -19.717   2.365   19.665   1.336   2.731   10.282   -1.263   -11.614   1.838   -1      0.056   698.823   5.58E14    1.638   1.729   0.139   0.797   0.68    0.19   
  1      10.2236      -9.102      0.057   -19.321   2.474   20.135   1.38    2.637   10.03    -1.482   -11.567   1.839   -1      0.056   698.823   5.58E14    1.638   1.729   0.241   0.495   0.23    0.73   
  1      10.1836      -9.3997     0.058   -20.612   2.549   19.127   1.566   3.095   10.653   -1.394   -12.08    1.905   -1      0.056   698.823   5.58E14    1.638   1.729   0.041   0.481   0.9     0.07   
  1      9.9963       -9.4344     0.056   -18.984   1.553   21.305   2.023   2.531   9.443    -0.385   -9.886    1.203   1       0.056   698.823   5.58E14    1.638   1.729   0.383   0.765   0.16    0.68   
  1      10.1206      -9.625      0.056   -19.425   2.438   19.64    1.152   2.907   10.175   -1.415   -11.663   1.844   -1      0.056   698.823   5.58E14    1.638   1.729   0.209   0.743   0.64    0.25   
  1      9.9517       -9.2436     0.058   -19.545   2.271   20.687   1.966   2.382   10.115   -0.62    -10.788   1.412   2       0.056   698.823   5.58E14    1.638   1.729   0.178   0.83    0.17    0.83   
  1      9.8987       -9.2418     0.057   -20.641   2.217   19.929   2.301   3.142   10.517   -0.688   -11.262   1.704   -1      0.056   698.823   5.58E14    1.638   1.729   0.039   0.908   0.68    0.28   
  1      10.1147      -9.7201     0.058   -20.655   2.396   20.173   2.585   3.001   10.676   -0.745   -11.483   1.954   -1      0.056   698.823   5.58E14    1.638   1.729   0.038   0.884   0.76    0.21   
  1      10.3442      -9.3096     0.059   -19.103   2.292   20.415   1.42    2.8     10.057   -1.295   -11.409   1.767   -1      0.056   698.823   5.58E14    1.638   1.729   0.328   0.191   0.33    0.59   
  1      10.377       -9.3591     0.055   -19.682   2.434   19.53    1.245   2.916   10.328   -1.382   -11.776   1.943   -1      0.056   698.823   5.58E14    1.638   1.729   0.146   0.154   0.48    0.52   
  1      10.2101      -9.2231     0.054   -19.881   2.442   19.44    1.306   3.088   10.423   -1.224   -11.715   1.911   -1      0.056   698.823   5.58E14    1.638   1.729   0.111   0.398   0.51    0.37   
  1      10.369       -9.5741     0.053   -20.911   2.538   19.723   2.392   2.819   10.83    -1.024   -11.923   2.002   -1      0.056   698.823   5.58E14    1.638   1.729   0.027   0.436   0.64    0.36   
  1      10.2578      -9.2092     0.054   -20.987   2.586   19.453   2.187   3.476   10.917   -0.917   -11.895   1.956   3       0.056   698.823   5.58E14    1.638   1.729   0.024   0.338   0.93    0.05   
  1      10.3293      -9.5733     0.058   -19.879   2.695   19.5     1.33    2.691   10.457   -1.377   -11.885   2.025   -1      0.056   698.823   5.58E14    1.638   1.729   0.112   0.497   0.85    0.12   
  1      10.2772      -9.2969     0.058   -20.654   2.485   18.855   1.413   3.157   10.733   -1.043   -11.818   1.906   -1      0.056   698.823   5.58E14    1.638   1.729   0.038   0.297   0.75    0.2    
  1      10.1843      -9.3731     0.057   -19.675   2.24    20.07    1.575   2.456   10.132   -0.973   -11.174   1.666   5       0.056   698.823   5.58E14    1.638   1.729   0.149   0.456   0.16    0.82   
  1      10.3033      -9.5344     0.057   -20.857   2.206   20.462   3.255   2.088   10.676   -0.159   -10.875   1.707   3       0.056   698.823   5.58E14    1.638   1.729   0.029   0.453   0.14    0.86   
  1      10.3768      -9.2352     0.055   -21.246   2.718   18.308   1.456   3.289   11.064   -1.163   -12.283   2.074   -1      0.056   698.823   5.58E14    1.638   1.729   0.017   0.165   0.53    0.47   
  1      10.3014      -9.3432     0.056   -18.953   2.432   20.957   1.706   2.803   10.002   -1.625   -11.664   1.89    -1      0.056   698.823   5.58E14    1.638   1.729   0.4     0.257   0.28    0.56   
  1      10.5023      -9.2007     0.06    -19.668   2.37    19.601   1.268   3.018   10.218   -1.156   -11.42    1.778   -1      0.056   698.823   5.58E14    1.638   1.729   0.151   0.186   0.59    0.25   
  1      10.4591      -9.4299     0.058   -21.812   2.648   19.438   3.166   3.355   11.238   0.051    -11.24    1.974   2       0.056   698.823   5.58E14    1.638   1.729   0.008   0.211   1.0     0.0    
  1      10.4702      -9.3584     0.061   -19.829   2.653   19.564   1.337   2.72    10.433   -1.362   -11.843   1.935   -1      0.056   698.823   5.58E14    1.638   1.729   0.121   0.097   0.68    0.29   
  1      10.3956      -9.3607     0.057   -19.473   2.496   19.942   1.36    2.827   10.283   -1.418   -11.75    2.028   -1      0.056   698.823   5.58E14    1.638   1.729   0.196   0.14    0.62    0.12   
  1      10.4503      -9.4584     0.057   -19.544   2.337   19.988   1.437   2.787   10.248   -1.288   -11.58    1.927   2       0.056   698.823   5.58E14    1.638   1.729   0.178   0.256   0.27    0.66   
  1      10.4411      -9.443      0.053   -18.599   2.298   20.714   1.308   2.619   9.806    -1.66    -11.523   1.759   -1      0.056   698.823   5.58E14    1.638   1.729   0.647   0.218   0.27    0.66   
  1      10.445       -9.3869     0.059   -20.629   2.594   19.361   1.768   2.83    10.795   -1.13    -11.964   1.996   -1      0.056   698.823   5.58E14    1.638   1.729   0.04    0.144   0.22    0.77   
  1      10.3515      -8.7006     0.056   -20.208   2.46    20.428   2.389   2.521   10.539   -1.028   -11.635   1.853   -1      0.056   698.823   5.58E14    1.638   1.729   0.071   0.981   0.49    0.51   
  1      10.3057      -8.8985     0.061   -19.098   2.429   20.525   1.481   2.722   10.03    -1.27    -11.365   2.124   -1      0.056   698.823   5.58E14    1.638   1.729   0.332   0.742   0.49    0.26   
  1      10.3388      -8.7251     0.054   -19.021   1.666   20.741   1.606   2.477   9.708    -0.074   -9.834    1.236   1       0.056   698.823   5.58E14    1.638   1.729   0.362   0.902   0.19    0.72   
  1      10.2597      -8.8545     0.057   -18.82    2.222   20.226   1.145   2.771   9.92     -1.066   -11.056   1.919   2       0.056   698.823   5.58E14    1.638   1.729   0.482   0.791   0.65    0.23   
  1      10.2969      -8.8378     0.056   -18.683   2.116   21.208   1.694   2.71    9.878    -1.222   -11.154   2.007   -1      0.056   698.823   5.58E14    1.638   1.729   0.581   0.781   0.56    0.16   
  1      10.3039      -9.0381     0.055   -19.69    2.535   19.433   1.188   3.087   10.294   -1.362   -11.724   1.882   -1      0.056   698.823   5.58E14    1.638   1.729   0.145   0.481   0.83    0.06   
