 cls ig      ra           dec       ty 
  6  74      18.60833       0.06694  1
  6  75      18.60625       0.06556  1
  6  76      18.55750       0.05111  3
  6  77      18.36667       0.11889  3
  6  78      18.29542       0.07056  3
  6  79      18.16875       0.07639  3
  6  80      18.16333       0.07944  2
  6  81      18.13250       0.06111  2
  6  82      18.12500       0.14250  3
  6  83      18.09208       0.12889  2
  6  84      17.96333       0.14417  2
  6  85      17.84792       0.10778  2
  6  86      17.84042       0.14833  3
  6  87      17.76250       0.14333  2
  6  88      18.45750       0.18444  3
  6  89      18.13875       0.20278  2
  6  90      18.09458       0.16917  1
  6  91      18.08583       0.24389  2
  6  92      18.02500       0.20583  3
  6  93      17.98208       0.20667  1
  6  94      17.95958       0.20639  2
  6  95      18.16458       0.22750  3
  6  96      18.22833       0.25333  3
  6  97      18.14500       0.31278  2
  6  98      18.07125       0.28833  2
  6  99      18.05542       0.26278  2
  6 100      17.99208       0.26833  2
  6 101      17.98500       0.26556  2
  6 102      17.96625       0.27333  3
  6 103      17.84000       0.30472  3
  6 104      18.20542       0.37056  3
  6 105      18.20333       0.38972  1
  6 106      18.10458       0.35639  1
  7   1      21.34250      -2.29750  3
  7   2      20.20125      -2.23694  3
  7   3      21.41708      -2.17306  2
  7   4      21.21917      -2.17139  2
  7   5      21.18083      -2.22917  2
  7   6      21.31417      -2.13750  1
  7   7      20.39417      -2.12083  2
  7   8      21.08417      -2.05528  3
  7   9      20.98833      -2.09750  3
  7  10      20.93708      -2.05333  3
  7  11      20.75167      -2.07167  3
  7  12      20.28250      -2.09111  2
  7  13      20.44375      -2.00694  3
  7  14      21.51583      -1.98917  3
  7  15      20.57500      -1.95194  2
  7  16      21.34250      -1.89889  3
  7  17      20.96792      -1.89806  3
  7  18      20.58125      -1.87722  1
  7  19      20.48208      -1.90222  2
  7  20      20.37375      -1.91861  2
  7  21      20.34750      -1.89556  2
  7  22      20.99375      -1.83417  2
  7  23      20.72083      -1.81083  3
  7  24      20.55000      -1.82750  3
  7  25      20.53542      -1.84722  2
  7  26      21.07458      -1.77083  3
  7  27      21.01417      -1.77722  1
  7  28      20.81333      -1.75222  2
  7  29      20.74625      -1.76278  2
  7  30      20.68708      -1.77778  2
  7  31      20.58625      -1.76083  2
  7  32      20.31000      -1.77778  1
  7  33      20.79750      -1.71694  2
  7  34      20.79708      -1.63889  1
  7  35      20.74250      -1.66806  3
  7  36      20.71292      -1.64028  2
  7  37      20.80958      -1.63111  3
  7  38      20.47042      -1.66611  2
  7  39      21.34708      -1.61750  3
  7  40      21.04417      -1.56583  3
  7  41      20.95083      -1.57417  1
  7  42      20.86458      -1.60528  1
  7  43      20.85875      -1.60056  1
  7  44      20.82708      -1.57750  2
