 logrho,rho,tipo
   1.20902526     ,   16.1817436     ,           1
   1.07774568     ,   11.9603977     ,           2
   1.11041498     ,   12.8948107     ,           3
  0.681062341     ,   4.79802322     ,           1
   1.06533635     ,   11.6234837     ,           2
   1.00810933     ,   10.1884775     ,           1
  0.997516155     ,   9.94297028     ,           2
  0.816222012     ,   6.54970884     ,           3
   1.01896727     ,   10.4464149     ,           1
  0.841045856     ,   6.93499041     ,           2
  0.556753159     ,   3.60373735     ,           2
  0.614168942     ,   4.11309671     ,           3
  0.323599637     ,   2.10668516     ,           3
  -2.58398093E-02 ,  0.942237079     ,           2
  -6.43535405E-02 ,  0.862276316     ,           3
  0.673147321     ,   4.71137142     ,           2
  0.689234316     ,   4.88916063     ,           3
  0.562250376     ,   3.64964271     ,           3
  -5.85334972E-02 ,  0.873909593     ,           2
  0.541352153     ,   3.47818089     ,           2
  0.833727717     ,   6.81911039     ,           3
  0.822446704     ,   6.64426088     ,           3
  0.908361793     ,   8.09770203     ,           2
   4.70733568E-02 ,   1.11448276     ,           3
  0.102805085     ,   1.26708305     ,           2
  0.255140662     ,   1.79945362     ,           2
   1.07108998     ,   11.7784986     ,           1
  0.982148468     ,   9.59728622     ,           1
  0.424502194     ,   2.65767694     ,           3
  0.816914201     ,   6.56015587     ,           3
  0.642657697     ,   4.39195299     ,           3
   1.64243765E-02 ,   1.03854275     ,           3
  0.833727717     ,   6.81911039     ,           3
  0.822446704     ,   6.64426088     ,           1
  0.882032752     ,   7.62136459     ,           2
  0.390253663     ,   2.45614314     ,           2
  0.661461353     ,   4.58628845     ,           2
  0.424502194     ,   2.65767694     ,           3
  0.527017653     ,   3.36525226     ,           3
  0.882032752     ,   7.62136459     ,           3
  0.454465806     ,   2.84751368     ,           1
  0.208026841     ,   1.61445832     ,           3
  0.631754279     ,   4.28306103     ,           2
  0.888466895     ,   7.73511744     ,           3
   1.02434635     ,   10.5766058     ,           2
  0.833727717     ,   6.81911039     ,           2
   4.98843566E-02 ,   1.12171972     ,           3
  0.775021672     ,   5.95691824     ,           1
   1.00697219     ,   10.1618366     ,           3
 -0.158805341     ,  0.693736672     ,           3
   1.05178463     ,   11.2663870     ,           1
  0.108147234     ,   1.28276539     ,           3
  0.491821229     ,   3.10328197     ,           3
  0.908361793     ,   8.09770203     ,           3
  0.869443536     ,   7.40360975     ,           3
  0.982148468     ,   9.59728622     ,           2
   1.14634120     ,   14.0068731     ,           3
   1.15824032     ,   14.3959513     ,           2
   1.41351342     ,   25.9127464     ,           2
   1.43579006     ,   27.2765846     ,           2
   1.41351342     ,   25.9127464     ,           2
  0.275201023     ,   1.88452113     ,           2
  0.851218581     ,   7.09934998     ,           2
  0.998538911     ,   9.96641350     ,           2
   1.03330123     ,   10.7969522     ,           3
  0.943690002     ,   8.78395271     ,           2
   1.63536263     ,   43.1879539     ,           2
   1.93639278     ,   86.3759384     ,           2
   1.20939302     ,   16.1954517     ,           1
  0.714540482     ,   5.18251371     ,           3
   1.81145406     ,   64.7819519     ,           3
   2.11248422     ,   129.563950     ,           1
   2.11248422     ,   129.563950     ,           1
   2.11248422     ,   129.563950     ,           1
   1.93639278     ,   86.3759384     ,           2
   2.23742294     ,   172.751923     ,           1
   2.41351414     ,   259.127899     ,           2
   1.93639278     ,   86.3759384     ,           2
   1.67315125     ,   47.1141357     ,           3
   1.60060036     ,   39.8657913     ,           1
   1.60060036     ,   39.8657913     ,           2
   1.76030147     ,   57.5839500     ,           2
   1.41351342     ,   25.9127464     ,           3
  0.456858724     ,   2.86324644     ,           2
  0.811451197     ,   6.47815275     ,           3
  0.998538911     ,   9.96641350     ,           1
   1.15824032     ,   14.3959513     ,           2
   1.48409486     ,   30.4856052     ,           1
   1.71454394     ,   51.8255463     ,           2
   1.56841576     ,   37.0182381     ,           3
   1.08107424     ,   12.0524187     ,           2
   1.08107424     ,   12.0524187     ,           1
  0.461684227     ,   2.89523768     ,           1
  0.464117348     ,   2.91150379     ,           3
  0.828050613     ,   6.73055029     ,           2
  0.350923449     ,   2.24348640     ,           2
  0.185614482     ,   1.53325534     ,           3
  0.253635228     ,   1.79322684     ,           2
  0.328928560     ,   2.13269401     ,           2
   8.51181298E-02 ,   1.21651685     ,           1
   1.38210207E-02 ,   1.03233588     ,           1
  0.440379113     ,   2.75663400     ,           3
  0.565319777     ,   3.67552829     ,           2
  0.505022943     ,   3.19906425     ,           2
  0.481541544     ,   3.03069019     ,           2
  0.424502194     ,   2.65767694     ,           1
  0.262746841     ,   1.83124661     ,           2
  0.456858724     ,   2.86324644     ,           3
  0.535561442     ,   3.43211198     ,           3
 -0.129338190     ,  0.742440760     ,           2
   1.03368994E-03 ,   1.00238299     ,           3
  0.214844853     ,   1.64000380     ,           1
  0.217602432     ,   1.65045023     ,           2
  0.179236829     ,   1.51090384     ,           2
   6.51920736E-02 ,   1.16196239     ,           3
  -4.89062704E-02 ,  0.893498302     ,           2
  0.666672885     ,   4.64165545     ,           3
  0.880553782     ,   7.59545469     ,           2
  0.921946585     ,   8.35500240     ,           1
  0.979938865     ,   9.54858112     ,           2
  0.911222875     ,   8.15122509     ,           1
  0.921946585     ,   8.35500240     ,           2
  0.685156405     ,   4.84346771     ,           2
  0.528369188     ,   3.37574172     ,           2
  0.498698205     ,   3.15281296     ,           2
  0.110698372     ,   1.29032278     ,           2
  0.115758285     ,   1.30544412     ,           3
  0.685156405     ,   4.84346771     ,           2
  0.833810270     ,   6.82040644     ,           3
  0.911222875     ,   8.15122509     ,           3
  0.470925391     ,   2.95750427     ,           2
  0.574614763     ,   3.75504184     ,           2
  0.400151402     ,   2.51276231     ,           3
  0.151087061     ,   1.41607761     ,           3
  0.298692405     ,   1.98926389     ,           2
  0.345025361     ,   2.21322393     ,           3
  0.678907394     ,   4.77427483     ,           2
  0.610191166     ,   4.07559633     ,           4
  0.643191695     ,   4.39735651     ,           1
  0.685156405     ,   4.84346771     ,           2
  0.637514532     ,   4.34024811     ,           3
  0.955805063     ,   9.03243923     ,           2
   1.04688585     ,   11.1400166     ,           3
   1.52400780     ,   33.4201050     ,           3
   1.41006434     ,   25.7077637     ,           2
   1.62091792     ,   41.7751427     ,           2
   1.07684910     ,   11.9357338     ,           2
  0.579522073     ,   3.79771233     ,           2
  0.444822371     ,   2.78498173     ,           2
  0.115758285     ,   1.30544412     ,           3
  -2.62339767E-02 ,  0.941382289     ,           2
   1.18158460     ,   15.1909399     ,           2
   1.52400780     ,   33.4201050     ,           3
   1.52400780     ,   33.4201050     ,           2
   1.92194808     ,   83.5503159     ,           3
   2.04688668     ,   111.400406     ,           2
   1.92194808     ,   83.5503159     ,           1
   2.22297812     ,   167.100632     ,           1
   2.22297812     ,   167.100632     ,           1
   1.92194808     ,   83.5503159     ,           1
   2.04688668     ,   111.400406     ,           1
   2.04688668     ,   111.400406     ,           2
   1.82503796     ,   66.8402405     ,           2
   2.22297812     ,   167.100632     ,           2
   1.82503796     ,   66.8402405     ,           1
   1.62091792     ,   41.7751427     ,           2
   1.48261523     ,   30.3819160     ,           2
   1.29355860     ,   19.6588745     ,           1
   1.14379597     ,   13.9250250     ,           3
  0.890537977     ,   7.77209282     ,           3
  -5.11942841E-02 ,  0.888803422     ,           3
   7.37480819E-02 ,   1.18508112     ,           2
  0.474785805     ,   2.98391056     ,           3
  0.753153920     ,   5.66439962     ,           2
  0.870793819     ,   7.42666531     ,           3
  0.911222875     ,   8.15122509     ,           2
  0.691496611     ,   4.91469526     ,           2
  0.637514532     ,   4.34024811     ,           3
  0.550876737     ,   3.55530381     ,           1
  0.783643365     ,   6.07635832     ,           1
  0.833810270     ,   6.82040644     ,           2
  0.783643365     ,   6.07635832     ,           1
  0.921946585     ,   8.35500240     ,           2
  0.672747135     ,   4.70703173     ,           3
  0.222970471     ,   1.67097700     ,           2
  0.193586111     ,   1.56165862     ,           3
  0.745854676     ,   5.56999302     ,           3
   1.03264534     ,   10.7806606     ,           3
   1.09264338     ,   12.3777962     ,           3
  0.955805063     ,   9.03243923     ,           3
  0.833810270     ,   6.82040644     ,           3
  0.955805063     ,   9.03243923     ,           1
  0.900757194     ,   7.95714378     ,           2
  0.753153920     ,   5.66439962     ,           2
  0.791612387     ,   6.18888426     ,           2
  0.314486831     ,   2.06294107     ,           2
  0.959040880     ,   9.09998894     ,           3
  0.671973586     ,   4.69865561     ,           1
  0.878943622     ,   7.56734610     ,           3
   1.03059363     ,   10.7298489     ,           1
   1.07133877     ,   11.7852478     ,           3
   1.04375505     ,   11.0599985     ,           1
   1.19391143     ,   15.6282873     ,           3
   1.02415943     ,   10.5720539     ,           1
   1.40951180     ,   25.6750832     ,           2
   1.27688587     ,   18.9184647     ,           2
   1.02415943     ,   10.5720539     ,           3
  0.420497715     ,   2.63328409     ,           3
   1.00540984     ,   10.1253462     ,           2
   1.26560497     ,   18.4333782     ,           3
   1.22320080     ,   16.7186337     ,           2
   1.31260157     ,   20.5400524     ,           2
   1.12427521     ,   13.3129768     ,           3
   1.15769899     ,   14.3780165     ,           2
   1.11630619     ,   13.0709200     ,           2
   1.16647303     ,   14.6714497     ,           2
   1.26560497     ,   18.4333782     ,           3
   1.24388564     ,   17.5341854     ,           3
   1.24388564     ,   17.5341854     ,           1
   1.32519066     ,   21.1441708     ,           2
   1.21321666     ,   16.3386669     ,           2
   1.39427185     ,   24.7897358     ,           2
   1.25460947     ,   17.9725380     ,           2
   1.39427185     ,   24.7897358     ,           3
   1.24388564     ,   17.5341854     ,           3
   1.16647303     ,   14.6714497     ,           3
  0.596592546     ,   3.94995809     ,           2
  0.633947909     ,   4.30474997     ,           3
   1.28846788     ,   19.4297791     ,           3
   1.68057907     ,   47.9268723     ,           2
   1.95358062     ,   89.8629456     ,           2
   2.01157260     ,   102.700523     ,           1
   1.68057907     ,   47.9268723     ,           1
   1.77748930     ,   59.9086151     ,           1
   1.77748930     ,   59.9086151     ,           1
   2.07851958     ,   119.817291     ,           1
   1.31260157     ,   20.5400524     ,           3
   1.13239300     ,   13.5641632     ,           3
   1.20345664     ,   15.9755802     ,           3
   1.21321666     ,   16.3386669     ,           2
   1.11630619     ,   13.0709200     ,           1
   1.01781929     ,   10.4188375     ,           3
  0.953577876     ,   8.98623657     ,           3
  0.807448626     ,   6.41872263     ,           1
  0.596592546     ,   3.94995809     ,           3
  0.932388425     ,   8.55831814     ,           3
   1.45872998     ,   28.7560959     ,           3
   1.53445077     ,   34.2334595     ,           2
   1.53445077     ,   34.2334595     ,           2
   1.68057907     ,   47.9268723     ,           2
   1.60139775     ,   39.9390526     ,           2
   1.81527793     ,   65.3548660     ,           1
   1.77748930     ,   59.9086151     ,           1
   1.95358062     ,   89.8629456     ,           3
   1.95358062     ,   89.8629456     ,           3
   1.95358062     ,   89.8629456     ,           3
   1.95358062     ,   89.8629456     ,           2
   2.07851958     ,   119.817291     ,           3
   1.81527793     ,   65.3548660     ,           3
   1.95358062     ,   89.8629456     ,           2
   2.01157260     ,   102.700523     ,           2
   1.95358062     ,   89.8629456     ,           2
   2.01157260     ,   102.700523     ,           2
   1.90242815     ,   79.8781738     ,           1
   1.95358062     ,   89.8629456     ,           2
   1.77748930     ,   59.9086151     ,           1
   1.53445077     ,   34.2334595     ,           2
   1.44169664     ,   27.6500931     ,           3
  0.835477591     ,   6.84664154     ,           3
  0.435056806     ,   2.72305751     ,           1
  0.463964462     ,   2.91047883     ,           1
  0.606244028     ,   4.03872252     ,           3
  0.878943622     ,   7.56734610     ,           3
   1.26560497     ,   18.4333782     ,           3
   1.65255034     ,   44.9314384     ,           3
   1.65255034     ,   44.9314384     ,           2
   1.90242815     ,   79.8781738     ,           2
   1.42530608     ,   26.6260109     ,           3
   1.45872998     ,   28.7560959     ,           2
   1.22320080     ,   16.7186337     ,           2
  0.861031890     ,   7.26159334     ,           2
  0.912184834     ,   8.16930008     ,           3
  0.683478892     ,   4.82479525     ,           2
  0.606244028     ,   4.03872252     ,           3
   1.33815587     ,   21.7849121     ,           2
   1.32519066     ,   21.1441708     ,           1
   1.42530608     ,   26.6260109     ,           2
   1.55564022     ,   35.9451447     ,           3
   1.31260157     ,   20.5400524     ,           1
   1.20345664     ,   15.9755802     ,           2
   1.14909887     ,   14.0960951     ,           3
   1.03712440     ,   10.8924217     ,           3
